offset,PCs In Normal Form,NEXTPc,Scale Degrees,file,Composer,Piece,Time Signature,Key,Mode,NEXTChord,PC1,SetClass,SetClassBigram,SDBigram
0,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
1,"[5, 9, 0]","[0, 4, 7]","[5, 9, 0]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",5,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[5, 9, 0]_[0, 4, 7]"
2,"[0, 4, 7]","[11, 2, 5]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[11, 2, 5]",0,"[0, 4, 7]","[0, 4, 7]_11_[0, 3, 6]","[0, 4, 7]_[11, 2, 5]"
3,"[11, 2, 5]","[0, 4, 7]","[11, 2, 5]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",11,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[11, 2, 5]_[0, 4, 7]"
4,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
5,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
6,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
7,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
8,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
9,"[5, 9, 0]","[0, 4, 7]","[5, 9, 0]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",5,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[5, 9, 0]_[0, 4, 7]"
10,"[0, 4, 7]","[11, 2, 5]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[11, 2, 5]",0,"[0, 4, 7]","[0, 4, 7]_11_[0, 3, 6]","[0, 4, 7]_[11, 2, 5]"
11,"[11, 2, 5]","[0, 4, 7]","[11, 2, 5]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",11,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[11, 2, 5]_[0, 4, 7]"
12,"[0, 4, 7]","[2, 5, 9]","[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
13,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
14,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
15,"[0, 4, 7]",x,"[0, 4, 7]",bach.annamin,bach,namin,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
0,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
1,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
2,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
3,"[5, 9, 0]","[2, 5, 9]","[5, 9, 0]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",5,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[5, 9, 0]_[2, 5, 9]"
4,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
5,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
6,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
7,"[5, 9, 0]","[0, 4, 7]","[5, 9, 0]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",5,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[5, 9, 0]_[0, 4, 7]"
8,"[0, 4, 7]","[0, 4, 7]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
9,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
10,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
11,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
12,"[5, 9, 0]","[9, 0, 4]","[5, 9, 0]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",5,"[0, 4, 7]","[0, 4, 7]_4_[0, 3, 7]","[5, 9, 0]_[9, 0, 4]"
13,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
14,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
15,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
16,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
