Start,1
"[0, 7, 16, 19]",2
1,3
1.5,4
"[0, 9, 14, 17]",5
0.5,6
"[0, 6, 14, 21]",7
"[0, 7, 12, 16]",8
2,9
"[4, 7, 12]",:
"[5, 7, 11, 14]",;
"[4, 7, 12, 16]",<
"[2, 9, 12, 17]",=
"[-5, 7, 11, 17]",>
"[-1, 8, 14, 16]",?
3,@
"[-3, 9, 12, 24]",A
"[-1, 8, 14, 23]",B
"[0, 9, 16, 21]",C
"[1, 9, 16, 19]",D
"[2, 9, 14, 17]",E
"[4, 9, 12, 16]",F
"[5, 9, 12, 14]",G
"[5, 9, 12, 15]",H
"[5, 9, 15]",I
"[4, 8, 11, 16]",J
"[0, 5, 11, 14]",K
"[0, 4, 12]",L
"[0, 5, 12, 14]",M
"[0, 9, 12, 17]",N
"[0, 10, 12, 19]",O
"[4, 10, 12, 19]",P
"[5, 9, 12, 21]",Q
"[4, 9, 13, 21]",R
"[-3, 9, 13, 16]",S
"[-5, 14, 17, 23]",T
"[-5, 12, 17, 21]",U
"[-5, 11, 17, 19]",V
"[-8, 10, 12, 19]",W
"[-7, 9, 12, 17]",X
"[-5, 7, 12, 16]",Y
"[-5, 4, 12]",Z
"[-5, 7, 11, 16]",[
"[-5, 5, 11, 14]",\
"[0, 12, 16, 19, 24]",]
0.75,^
"[-3, 9, 16, 21, 24, 28]",_
"[-8, 4, 19, 24, 28, 31]",`
"[24, 28]",a
0.25,b
"[-7, 5, 21, 26, 29]",c
0.416666667,d
0.333333333,e
[28],f
"[-5, 7, 23, 26]",g
"[7, 23, 26]",h
[26],i
0.166666667,j
"[16, 19, 24, 31]",k
0.833333333,l
[24],m
0.666666667,n
"[14, 21, 26, 29]",o
0.583333333,p
"[12, 24, 28]",q
"[12, 19, 24, 28]",r
"[19, 24, 28]",s
0.083333333,t
"[9, 21, 24, 29]",u
[9],v
4-Jan,w
"[7, 24, 28]",x
"[7, 28]",y
"[5, 21, 24, 26]",z
"[21, 24, 26]",{
"[7, 17, 19, 23, 26]",|
"[19, 23, 26]",}
"[23, 26]",~
"[12, 16, 19, 24, 26]",
"[12, 16, 19, 24]",
[16],
"[16, 19, 31]",
"[16, 31]",
2-Jan,
[21],
"[14, 17, 21, 29]",
12-Jul,
"[5, 28]",
3-Jan,
"[12, 19, 24]",
12-Nov,
"[9, 12, 24, 28]",
[4],
"[4, 19, 24, 31]",
"[19, 24, 31]",
"[5, 17, 21, 29]",
"[7, 14, 23, 26]",
"[14, 17, 29]",
"[14, 17, 24, 29]",
"[9, 17, 21, 24, 29]",
12-May,
"[5, 17, 21, 24, 26]",
"[17, 21, 24, 26]",
"[7, 19, 23, 26]",
1.583333333,
"[7, 14, 22, 31]",
"[22, 31]",
[31],
"[7, 16, 22, 31]",
"[5, 17, 21, 33]",
"[2, 21, 29]",
"[12, 19, 28]", 
"[11, 19, 26]",¡
6-Jan,¢
"[9, 12, 24]",£
"[24, 30]",¤
[30],¥
"[7, 14, 23, 31]",¦
"[7, 23, 31]",§
"[19, 23, 31]",¨
"[17, 31]",©
"[16, 19, 24]",ª
"[19, 24]",«
[14],¬
[12],­
"[9, 19, 24, 28]",®
"[5, 26, 29]",¯
[5],°
0.916666667,±
"[14, 29]",²
"[7, 9, 28]",³
"[12, 24, 26]",´
"[12, 16, 19]",µ
3-Feb,¶
"[16, 24, 31]",·
"[21, 24, 31]",¸
"[14, 24, 29]",¹
"[9, 21, 29]",º
"[5, 24, 26]",»
"[24, 26]",¼
"[12, 24]",½
"[4, 16, 19, 24, 31]",¾
"[5, 17, 21, 26, 29]",¿
"[7, 14, 23, 24, 26, 28]",À
"[14, 17, 23, 29]",Á
"[9, 17, 21, 29]",Â
12-Jan,Ã
"[7, 22, 31]",Ä
[7],Å
"[7, 31]",Æ
"[21, 33]",Ç
"[21, 31]",È
"[7, 19, 23, 26, 28]",É
2-Mar,Ê
4-Mar,Ë
"[11, 19]",Ì
"[19, 26]",Í
"[12, 19, 24, 26, 28]",Î
"[9, 12, 24, 30]",Ï
"[14, 23, 31]",Ð
"[17, 19, 31]",Ñ
"[14, 24]",Ò
"[19, 28]",Ó
"[4, 19, 31]",Ô
"[19, 31]",Õ
[19],Ö
"[7, 19, 23, 24, 26, 28]",×
"[7, 14, 19, 23, 26]",Ø
"[16, 24]",Ù
"[23, 29]",Ú
"[14, 17]",Û
"[5, 24, 26, 28]",Ü
1.25,Ý
"[4, 16, 19, 24, 28, 31]",Þ
"[2, 14, 19, 26, 29]",ß
"[0, 12, 19, 24, 28]",à
"[-3, 9, 21, 24, 29]",á
"[-5, 7, 24, 28]",â
"[-7, 5, 21, 24, 26]",ã
"[-5, 7, 19, 23, 26]",ä
"[0, 19, 24, 26]",å
"[12, 16]",æ
1.083333333,ç
"[9, 16, 21, 24, 28]",è
"[-3, 24]",é
"[4, 16, 24, 28, 31]",ê
"[4, 16, 28, 31]",ë
"[4, 21, 28, 31]",ì
"[2, 14, 23, 29]",í
"[0, 12, 24, 28]",î
"[-5, 7, 19, 22, 26, 31]",ï
"[-5, 19, 26, 31]",ð
"[19, 26, 31]",ñ
"[-5, 7, 19, 26, 31]",ò
"[-7, 5, 21, 24, 29, 33]",ó
"[-10, 2, 21, 24, 29]",ô
"[-1, 11, 19, 26]",õ
"[-3, 9, 18, 30]",ö
"[-3, 9, 18, 24, 26, 30]",÷
"[-5, 7, 19, 23, 26, 31]",ø
"[19, 23, 26, 31]",ù
"[7, 19, 23, 26, 31]",ú
"[17, 19, 23, 26, 31]",û
"[4, 16, 19, 24]",ü
"[2, 14]",ý
"[2, 14, 19]",þ
"[-3, 9, 24, 28]",ÿ
"[-8, 4, 19, 24, 31]",Ā
"[4, 16]",ā
"[24, 28, 31]",Ă
"[2, 14, 29]",ă
"[-5, 7, 28]",Ą
"[-7, 5, 24, 26]",ą
"[-5, 7, 17, 23, 26]",Ć
"[17, 23, 26]",ć
"[0, 12, 15, 19]",Ĉ
"[8, 12, 17, 24]",ĉ
"[7, 14, 19, 23]",Ċ
"[12, 15, 19, 24]",ċ
"[10, 17, 22, 26]",Č
"[15, 19, 22, 27]",č
"[8, 12, 19, 24]",Ď
"[3, 15, 19]",ď
"[5, 12, 17, 21]",Đ
"[5, 17, 21, 24]",đ
"[15, 22, 27, 31]",Ē
"[10, 22, 26, 29]",ē
"[12, 19, 24, 27]",Ĕ
"[8, 15, 24]",ĕ
"[0, 4, 7]",Ė
"[-3, 4, 9, 12]",ė
"[-7, 5, 9, 14]",Ę
"[-5, 2, 7, 11]",ę
"[-5, -1, 7]",Ě
"[-8, 0, 7, 12]",ě
"[-5, -1, 7, 14]",Ĝ
"[0, 7, 16]",ĝ
"[-5, 7, 11, 14]",Ğ
"[-3, 0, 12, 18]",ğ
"[-5, 2, 11, 19]",Ġ
"[-8, 4, 7, 11]",ġ
"[-7, 0, 5, 9]",Ģ
"[-10, 5, 9, 14]",ģ
"[-7, -1, 7]",Ĥ
[-7],ĥ
"[-8, 0, 7, 19]",Ħ
"[-7, 0, 9, 19]",ħ
"[-7, 0, 9, 17]",Ĩ
[17],ĩ
"[-5, 0, 7, 16]",Ī
"[-5, -1, 14]",ī
"[-5, -1, 5, 14]",Ĭ
"[-12, 0, 4, 12]",ĭ
"[-4, 5, 12, 14]",Į
"[-4, 5, 11, 14]",į
"[-3, 4, 11, 12]",İ
"[-3, 4, 12]",ı
"[-2, 4, 9, 12]",Ĳ
"[-2, 4, 7, 12]",ĳ
"[-3, 5, 12, 17]",Ĵ
"[-7, 9, 14]",ĵ
"[-3, 6, 12]",Ķ
"[-7, 7, 11, 14]",ķ
"[-8, 7, 11, 19]",ĸ
"[-7, 9, 12, 14]",Ĺ
"[4, 7, 12, 19]",ĺ
4,Ļ
"[2, 7, 11, 17]",ļ
"[4, 12, 19]",Ľ
"[-8, 12, 19]",ľ
"[-8, 12, 16]",Ŀ
"[-3, 5, 12]",ŀ
"[7, 11, 14]",Ł
"[5, 11, 14]",ł
"[4, 11, 16, 19]",Ń
"[2, 11, 16, 19]",ń
"[-1, 8, 16, 23]",Ņ
"[-3, 9, 16, 24]",ņ
"[-5, 9, 16, 24]",Ň
"[-7, 9, 12, 16]",ň
"[0, 4, 7, 12]",ŉ
"[0, 7, 14, 17]",Ŋ
"[7, 12, 16]",ŋ
"[2, 7, 11, 21]",Ō
"[-5, 7, 11, 19]",ō
"[-5, 7, 14, 17]",Ŏ
"[0, 9, 12, 21]",ŏ
"[0, 12, 16, 21]",Ő
"[2, 11, 14, 19]",ő
"[2, 9, 14, 18]",Œ
"[-5, 11, 14, 19]",œ
"[7, 11, 17, 19]",Ŕ
"[0, 12, 16, 24]",ŕ
"[4, 12, 19, 23]",Ŗ
"[5, 12, 21]",ŗ
"[4, 13, 19, 21]",Ř
"[2, 14, 17, 26]",ř
"[2, 14, 18, 24]",Ś
"[7, 12, 19, 21]",ś
"[7, 11, 19]",Ŝ
"[5, 11, 19]",ŝ
"[4, 12, 19, 24]",Ş
"[4, 7, 12, 24]",ş
"[5, 9, 14, 24]",Š
"[7, 16, 24]",š
"[-5, 7, 14, 23]",Ţ
"[-5, 7, 16, 24]",ţ
"[0, 7, 16, 24]",Ť
"[4, 12, 16, 19]",ť
"[7, 11, 14, 19]",Ŧ
"[-5, 14, 17, 19]",ŧ
"[0, 12, 16, 19]",Ũ
"[5, 9, 17, 24]",ũ
"[4, 16, 19, 24, 28]",Ū
"[-5, 7, 19, 24, 26]",ū
"[-3, 9, 16, 21, 24]",Ŭ
2.25,ŭ
"[0, 12, 16, 21, 24]",Ů
"[-8, 4, 16, 21, 23]",ů
"[-8, 4, 16, 19, 23]",Ű
"[-7, 5, 12, 17, 21]",ű
"[-3, 9, 12, 17, 21]",Ų
"[-12, 0, 12, 16, 19]",ų
"[0, 12, 19, 28]",Ŵ
"[-7, 5, 12, 21, 26]",ŵ
"[-5, 7, 11, 19, 26]",Ŷ
"[-5, 7, 11, 17, 26]",ŷ
"[-12, 0, 12, 16, 24]",Ÿ
4.083333333,Ź
2.166666667,ź
"[-3, 9, 12, 21, 28]",Ż
"[-7, 5, 12, 21, 29]",ż
4.25,Ž
"[-1, 11, 14, 19, 26]",ž
"[-5, 7, 14, 23, 31]",ſ
"[-7, 5, 21, 24, 29]",ƀ
"[-12, 0, 19, 24, 28]",Ɓ
"[0, 12, 16, 24, 31]",Ƃ
"[-12, 0, 16, 19, 24]",ƃ
2.083333333,Ƅ
4.166666667,ƅ
3.166666667,Ɔ
3.083333333,Ƈ
"[-7, 5, 17, 21, 24]",ƈ
2.416666667,Ɖ
4.333333333,Ɗ
"[0, 12, 19, 28, 31]",Ƌ
"[0, 12, 19, 28, 36]",ƌ
"[0, 28, 36]",ƍ
"[2, 14, 19, 29, 35]",Ǝ
"[4, 16, 19, 31, 36]",Ə
"[0, 12, 24, 28, 31]",Ɛ
"[5, 17, 24, 29, 33]",Ƒ
"[7, 19, 23, 28, 31]",ƒ
"[7, 19, 23]",Ɠ
"[7, 19, 23, 26, 29]",Ɣ
"[0, 12, 24]",ƕ
"[4, 16, 24, 31]",Ɩ
"[4, 16, 23, 24, 31]",Ɨ
"[5, 17, 21, 24, 33]",Ƙ
"[5, 17, 21, 24, 35]",ƙ
"[4, 16, 19, 24, 36]",ƚ
"[2, 14, 19, 23, 29]",ƛ
"[23, 26, 31]",Ɯ
"[5, 17, 23, 26, 31]",Ɲ
"[2, 14, 17, 29, 33]",ƞ
"[2, 14, 17, 29]",Ɵ
"[2, 14, 17, 29, 35]",Ơ
"[0, 12, 19, 31, 40]",ơ
"[-1, 11, 19, 29, 38]",Ƣ
"[7, 19, 23, 26, 35]",ƣ
"[5, 17, 29, 33]",Ƥ
"[5, 17, 26, 29, 35]",ƥ
"[5, 17, 29, 35]",Ʀ
"[4, 16, 24, 31, 36]",Ƨ
"[5, 17, 21, 29, 38]",ƨ
"[7, 19, 26, 35]",Ʃ
5,ƪ
"[0, 12, 19]",ƫ
"[4, 16, 19]",Ƭ
"[4, 16, 24]",ƭ
"[5, 17, 29]",Ʈ
3.75,Ư
"[-5, 23, 26]",ư
2.75,Ʊ
"[7, 23, 26, 31]",Ʋ
[0],Ƴ
"[0, 28, 31]",ƴ
"[7, 26, 29]",Ƶ
"[0, 24, 28]",ƶ
"[5, 23, 26, 31]",Ʒ
"[-1, 11, 19]",Ƹ
"[4, 31]",ƹ
"[12, 19, 28, 36]",ƺ
"[5, 24, 29, 33]",ƻ
"[4, 16, 23]",Ƽ
"[4, 24, 36]",ƽ
"[5, 17, 26, 29]",ƾ
"[16, 24, 31, 36]",ƿ
"[7, 26, 35]",ǀ
"[5, 17, 21, 29, 36]",ǁ
4.5,ǂ
"[0, 12, 19, 26, 29]",ǃ
"[7, 19, 24, 28]",Ǆ
"[-5, 7, 19, 23, 29]",ǅ
"[-3, 9, 24, 28, 33]",ǆ
"[2, 14, 23, 26, 31]",Ǉ
"[2, 14, 21, 26, 30]",ǈ
"[-5, 7, 23, 26, 31]",ǉ
"[-5, 7, 19, 26, 29]",Ǌ
"[-7, 5, 24, 29, 33]",ǋ
"[-5, 7, 24, 28, 31]",ǌ
"[-5, 7, 19, 24, 28]",Ǎ
5.166666667,ǎ
16/3,Ǐ
"[0, 4, 12, 19]",ǐ
"[0, 5, 12, 21]",Ǒ
"[-2, 7, 16, 24]",ǒ
"[-3, 5, 17, 24]",Ǔ
"[-3, 12, 17]",ǔ
"[-5, 11, 12, 19]",Ǖ
"[-7, 9, 12, 21]",ǖ
"[-5, 5, 11, 19]",Ǘ
"[0, 10, 12, 16]",ǘ
"[2, 7, 11, 14]",Ǚ
"[2, 7, 14, 23]",ǚ
"[2, 6, 12, 21]",Ǜ
"[2, 9, 12, 18]",ǜ
"[7, 10, 12, 16]",ǝ
"[4, 7, 10, 12]",Ǟ
"[0, 10, 16, 24]",ǟ
"[-7, 9, 17, 24]",Ǡ
"[-7, 12, 17, 21]",ǡ
"[12, 21]",Ǣ
"[5, 9, 12, 17]",ǣ
"[4, 7, 13, 21]",Ǥ
"[2, 6, 14, 21]",ǥ
"[9, 12, 14, 18]",Ǧ
"[6, 9, 14]",ǧ
"[2, 12, 18, 26]",Ǩ
"[-5, 11, 19, 26]",ǩ
"[5, 11, 14, 19]",Ǫ
"[7, 10, 16, 24]",ǫ
"[9, 12, 17, 24]",Ǭ
"[5, 12, 23]",ǭ
"[-7, 5, 12, 21]",Ǯ
"[-5, 4, 12, 19]",ǯ
"[-5, 5, 7, 14]",ǰ
"[0, 12, 24, 28, 36]",Ǳ
"[12, 24, 28, 36]",ǲ
"[0, 12, 24, 31, 40]",ǳ
"[7, 19, 23, 29, 38]",Ǵ
1.75,ǵ
"[9, 21, 24, 28, 36]",Ƕ
"[9, 28, 36]",Ƿ
"[21, 24, 28, 36, 40]",Ǹ
"[9, 21, 24, 28, 40]",ǹ
1.916666667,Ǻ
"[9, 19, 23, 31, 38]",ǻ
"[7, 19, 23, 31, 38]",Ǽ
3.916666667,ǽ
"[19, 26, 31, 41]",Ǿ
"[7, 19, 26, 31, 41]",ǿ
"[7, 12, 24, 31, 40]",Ȁ
1.833333333,ȁ
"[12, 24, 31, 40]",Ȃ
"[9, 21, 24]",ȃ
4-Jul,Ȅ
"[4, 5, 17, 24]",ȅ
"[29, 33]",Ȇ
"[7, 19, 24, 31, 40]",ȇ
"[7, 19, 24]",Ȉ
8,ȉ
"[7, 31, 41]",Ȋ
"[4, 31, 36]",ȋ
5.75,Ȍ
"[12, 24, 28, 31]",ȍ
"[7, 31, 38]",Ȏ
3.666666667,ȏ
"[31, 38]",Ȑ
"[7, 12, 24]",ȑ
"[7, 19, 23, 31, 38, 40]",Ȓ
"[21, 24, 28, 36]",ȓ
"[7, 9, 19, 23, 31, 38]",Ȕ
"[24, 31, 40]",ȕ
"[4, 12, 16, 24, 31, 36]",Ȗ
"[5, 29, 33]",ȗ
"[12, 28, 36]",Ș
"[12, 31, 40]",ș
"[28, 31]",Ț
"[21, 24, 28, 40]",ț
1.666666667,Ȝ
"[19, 23, 31, 38]",ȝ
"[7, 21, 24, 28, 36]",Ȟ
"[31, 36]",ȟ
"[4, 16, 17, 24, 29, 33]",Ƞ
"[5, 17, 24, 33, 36]",ȡ
6.5,Ȣ
"[0, 12, 28, 31, 36]",ȣ
6.25,Ȥ
